Date,Time,Round,Day,Venue,Opponent,Season,Team,Result_rolling,GF_rolling,GA_rolling,Poss_rolling,Attendance_rolling,Sh_rolling,SoT_rolling,Dist_rolling,FK_rolling,PK_rolling,PKatt_rolling,SoTA_rolling,PKA_rolling,PKsv_rolling,PKm_rolling,Cmp_Total_rolling,Att_Total_rolling,TotDist_rolling,PrgDist_rolling,TI_rolling,CK_rolling,SCA_rolling,GCA_rolling,Tkl_Defensive_rolling,TklW_Defensive_rolling,Blocks_Defensive_rolling,Touches_rolling,Def Pen_rolling,Def 3rd_rolling,Mid 3rd_rolling,Att 3rd_rolling,Dribbles_Succ_rolling,Dribles_Att_rolling,Rec_rolling,CrdY_rolling,CrdR_rolling,2CrdY_rolling,Fls_rolling,Fld_rolling,Off_rolling,PKwon_rolling,PKcon_rolling,OG_rolling
2017-09-25,20,6,1,0,25,2017,0,1.0,1.4,1.6,60.6,48558.4,16.2,5.4,17.5,0.2,0.0,0.0,4.6,0.0,0.0,0.0,526.2,644.6,8902.2,3081.6,20.2,6.4,30.2,2.4,17.2,13.2,7.2,747.0,54.0,192.2,360.6,201.2,11.0,15.2,522.8,1.4,0.0,0.0,11.6,8.6,3.8,0.0,0.0,0.0
2017-10-01,12,7,7,0,4,2017,0,1.0,1.0,1.0,60.8,48507.8,13.8,4.4,17.380000000000003,0.8,0.2,0.2,4.4,0.0,0.0,0.0,526.2,640.4,8894.8,3118.8,19.8,6.0,25.4,1.4,15.6,11.6,7.0,741.2,54.0,185.8,361.6,200.4,10.4,15.2,522.8,1.6,0.0,0.0,11.4,9.6,2.8,0.2,0.0,0.0
2017-10-14,17,8,6,1,24,2017,0,1.4,1.4,0.8,58.4,54491.6,15.2,4.8,17.44,1.2,0.2,0.2,3.8,0.0,0.0,0.0,518.6,630.2,8672.8,2997.0,19.0,5.4,27.2,2.0,15.6,11.6,8.0,734.6,57.8,184.6,353.2,202.8,9.2,13.8,516.0,1.6,0.0,0.0,10.6,10.2,2.6,0.2,0.0,0.0
2017-10-22,13,9,7,1,9,2017,0,1.4,1.6,0.4,58.8,47927.2,15.4,6.0,18.24,1.2,0.2,0.2,2.2,0.2,0.0,0.0,518.4,631.8,8820.4,3048.0,18.4,5.8,27.4,2.2,16.6,11.8,9.0,736.8,57.8,189.0,347.6,205.4,7.8,11.6,515.0,0.8,0.0,0.0,10.8,10.6,1.6,0.2,0.2,0.0
2017-10-28,15,10,6,0,22,2017,0,1.4,2.0,0.8,60.6,43912.6,18.0,7.0,18.44,1.4,0.2,0.2,2.4,0.2,0.0,0.0,529.4,639.6,8944.6,3106.8,19.2,5.2,31.2,3.2,15.8,11.2,9.8,744.4,55.6,193.8,349.4,205.8,8.4,11.8,525.8,1.0,0.0,0.0,10.8,11.6,1.0,0.2,0.2,0.0
2017-11-05,14,11,7,1,15,2017,0,1.6,2.4,1.0,65.2,47515.6,19.2,7.6,18.22,1.4,0.2,0.2,2.0,0.2,0.0,0.0,589.8,700.4,9997.4,3327.2,20.8,6.0,33.6,3.8,15.2,10.8,7.8,796.8,49.4,179.8,378.0,243.2,7.8,11.4,586.0,0.4,0.0,0.0,9.6,11.2,1.0,0.2,0.2,0.0
2017-11-18,12,12,6,0,23,2017,0,1.2,2.2,1.6,60.0,46546.0,17.4,7.2,18.5,1.0,0.0,0.0,2.6,0.4,0.0,0.0,556.6,666.8,9379.6,3180.0,22.4,5.6,30.6,3.6,15.4,11.0,8.2,758.0,49.4,182.0,359.6,219.4,6.2,9.2,552.4,1.4,0.0,0.0,11.0,10.6,1.6,0.0,0.4,0.0
2017-11-26,14,13,7,1,5,2017,0,1.2,2.2,1.6,55.8,46576.4,15.2,6.6,18.1,0.8,0.0,0.0,3.2,0.4,0.0,0.0,490.2,609.4,8483.0,3096.8,23.2,5.8,27.0,3.8,16.0,10.8,7.8,709.2,53.2,195.4,326.6,190.2,5.6,9.0,485.2,2.2,0.0,0.0,11.8,12.0,2.8,0.0,0.4,0.0
2017-11-29,19,14,3,0,11,2017,0,1.6,2.2,1.2,57.8,46844.0,16.8,5.6,18.46,0.8,0.2,0.2,3.2,0.2,0.0,0.0,508.8,628.4,8561.2,3092.2,24.2,5.8,29.8,4.0,14.6,10.2,6.4,722.4,49.0,188.6,334.8,202.6,8.0,11.6,504.4,2.2,0.0,0.0,12.6,12.0,3.4,0.2,0.2,0.0
2017-12-02,17,15,6,0,16,2017,0,1.6,2.2,0.8,58.2,50863.2,15.0,4.0,18.18,0.6,0.2,0.2,3.2,0.2,0.0,0.0,546.8,664.8,9502.2,3415.8,21.6,5.8,27.6,4.2,16.0,10.8,5.8,757.2,47.0,186.2,370.6,204.4,7.2,11.4,541.8,2.0,0.0,0.0,11.8,11.2,3.6,0.2,0.2,0.0
2017-12-10,12,16,7,1,20,2017,0,1.2,2.0,1.2,58.8,50874.0,18.2,5.8,18.240000000000002,1.0,0.2,0.2,3.6,0.2,0.0,0.0,518.6,637.0,8844.4,3319.4,21.8,7.2,33.0,4.0,16.4,11.0,7.2,732.4,48.2,184.0,341.6,212.0,8.4,12.4,513.6,2.6,0.0,0.0,12.2,11.4,4.0,0.2,0.2,0.0
2017-12-13,20,17,3,1,26,2017,0,1.4,2.0,0.8,63.6,46345.4,19.2,6.4,18.259999999999998,1.0,0.2,0.2,3.2,0.0,0.0,0.0,578.0,699.8,9819.6,3526.4,20.2,7.2,35.0,4.0,15.8,10.6,7.6,793.4,47.6,184.8,361.6,253.0,9.2,13.0,572.6,1.8,0.0,0.0,11.2,10.8,3.6,0.2,0.0,0.0
2017-12-16,15,18,6,0,17,2017,0,1.2,1.6,0.8,68.8,45823.6,20.8,6.0,19.28,1.2,0.2,0.2,2.4,0.0,0.0,0.0,645.0,761.2,11003.4,3719.4,20.2,7.2,38.8,3.2,15.6,10.8,8.0,850.2,42.0,177.4,386.6,292.6,10.8,14.4,639.0,1.0,0.0,0.0,10.8,9.4,2.0,0.2,0.0,0.0
2017-12-22,19,19,5,0,14,2017,0,1.2,1.6,0.8,70.2,53355.0,22.0,6.8,18.279999999999998,1.2,0.0,0.0,2.4,0.0,0.0,0.0,669.4,785.2,11603.0,3949.6,20.4,7.6,41.0,3.0,16.8,10.2,8.8,881.4,43.0,180.2,397.8,310.6,12.2,16.6,663.0,1.4,0.0,0.0,10.6,9.4,1.6,0.0,0.0,0.0
2017-12-28,20,20,4,1,8,2017,0,1.0,1.2,1.4,67.2,53379.8,20.0,6.4,19.22,1.2,0.0,0.0,3.6,0.0,0.0,0.0,604.4,727.4,10269.0,3541.0,22.4,7.6,37.0,2.0,16.6,10.6,9.0,827.6,48.8,177.2,358.6,299.6,12.4,16.6,598.6,1.6,0.0,0.0,10.4,9.6,1.8,0.0,0.0,0.0
2017-12-31,16,21,7,1,25,2017,0,1.4,1.6,1.2,65.0,46622.8,16.6,5.4,19.580000000000002,1.0,0.0,0.0,3.2,0.0,0.0,0.0,601.6,723.6,10388.6,3522.0,22.0,6.0,30.8,2.6,17.2,10.6,8.4,828.6,54.6,196.0,368.0,272.4,13.2,18.6,594.6,1.2,0.0,0.0,9.6,10.0,1.6,0.0,0.0,0.0
