,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
0,2017-08-12,17:30,Premier League,Matchweek 1,Sat,Away,W,2,0,Brighton,1.9,0.3,77,30415,Vincent Kompany,3-1-4-2,Michael Oliver,Match Report,,14,4,19.5,2.0,0,0,2,0,0,0,718.0,820.0,11768.0,3285.0,17.0,10.0,25.0,2.0,10.0,6,9.0,895.0,27.0,129.0,474.0,296.0,6.0,12.0,714.0,2,0,0,9,6,1,0.0,0.0,0
1,2017-08-21,20:00,Premier League,Matchweek 2,Mon,Home,D,1,1,Everton,1.1,0.6,64,49108,Vincent Kompany,3-1-4-2,Robert Madley,Match Report,,19,6,20.0,1.0,0,0,2,0,0,0,494.0,618.0,8056.0,3076.0,29.0,7.0,36.0,2.0,12.0,8,11.0,702.0,43.0,162.0,338.0,211.0,13.0,20.0,484.0,3,1,1,7,8,0,0.0,0.0,0
2,2017-08-26,12:30,Premier League,Matchweek 3,Sat,Away,W,2,1,Bournemouth,1.4,0.5,70,10419,Vincent Kompany,4-3-3,Mike Dean,Match Report,,19,8,16.2,1.0,0,0,3,0,0,0,569.0,675.0,9985.0,3249.0,35.0,5.0,31.0,4.0,13.0,8,9.0,797.0,50.0,178.0,363.0,260.0,13.0,18.0,564.0,6,1,1,14,13,3,0.0,0.0,0
3,2017-09-09,12:30,Premier League,Matchweek 4,Sat,Home,W,5,0,Liverpool,2.4,0.7,66,54172,David Silva,3-1-4-2,Jonathan Moss,Match Report,,13,10,14.0,0.0,0,0,3,0,0,0,689.0,781.0,11961.0,3566.0,21.0,8.0,22.0,10.0,14.0,10,10.0,864.0,46.0,178.0,534.0,156.0,4.0,12.0,687.0,2,0,0,10,9,5,0.0,0.0,0
4,2017-09-13,20:45,Champions Lg,Group stage,Wed,Away,W,4,0,nl Feyenoord,1.3,0.3,71,43500,David Silva,4-3-3,Szymon Marciniak,Match Report,,11,7,14.4,0.0,0,0,1,0,0,0,802.0,898.0,12458.0,3868.0,18.0,7.0,20.0,7.0,10.0,6,12.0,975.0,48.0,200.0,643.0,144.0,8.0,11.0,793.0,1,0,0,9,12,6,0.0,0.0,0
5,2017-09-16,15:00,Premier League,Matchweek 5,Sat,Away,W,6,0,Watford,3.3,0.5,67,20305,David Silva,4-3-3,Anthony Taylor,Match Report,,27,9,17.2,0.0,1,1,1,0,0,0,602.0,684.0,10128.0,3471.0,15.0,11.0,50.0,12.0,19.0,13,10.0,807.0,53.0,212.0,360.0,243.0,13.0,17.0,599.0,0,0,0,6,8,0,1.0,0.0,0
6,2017-09-20,20:00,EFL Cup,Third round,Wed,Away,W,2,1,West Brom,,,66,14953,Yaya Touré,4-2-3-1,Mike Jones,Match Report,,15,8,,,0,0,3,0,0,0,,,,,,,,,,9,,,,,,,,,,4,0,0,13,14,2,0.0,0.0,0
7,2017-09-23,15:00,Premier League,Matchweek 6,Sat,Home,W,5,0,Crystal Palace,4.5,0.6,71,53526,David Silva,4-3-3,Niel Swarbrick,Match Report,,25,9,13.5,0.0,0,0,0,0,0,0,692.0,777.0,11251.0,3550.0,21.0,8.0,44.0,10.0,6.0,3,10.0,878.0,40.0,142.0,441.0,302.0,14.0,18.0,685.0,3,0,0,6,6,0,0.0,0.0,0
8,2017-09-26,19:45,Champions Lg,Group stage,Tue,Home,W,2,0,ua Shakhtar,3.2,0.5,56,45310,David Silva,4-3-3,Jorge de Sousa,Match Report,,17,6,18.3,0.0,0,1,2,0,0,0,570.0,649.0,9897.0,3127.0,20.0,2.0,31.0,4.0,22.0,17,10.0,762.0,50.0,187.0,445.0,138.0,15.0,24.0,563.0,0,0,0,11,6,5,1.0,0.0,0
9,2017-09-30,17:30,Premier League,Matchweek 7,Sat,Away,W,1,0,Chelsea,0.9,0.5,61,41530,David Silva,4-3-3,Martin Atkinson,Match Report,,17,5,18.0,1.0,0,0,2,0,0,0,605.0,696.0,10700.0,3550.0,19.0,8.0,33.0,2.0,19.0,17,13.0,795.0,47.0,197.0,413.0,194.0,8.0,15.0,600.0,2,0,0,13,8,0,0.0,0.0,0
10,2017-10-14,15:00,Premier League,Matchweek 8,Sat,Home,W,7,2,Stoke City,3.8,0.5,79,54128,David Silva,4-3-3,Craig Pawson,Match Report,,20,11,16.1,2.0,0,0,1,0,0,0,840.0,931.0,12943.0,4093.0,18.0,5.0,39.0,13.0,12.0,11,3.0,1000.0,32.0,143.0,623.0,242.0,5.0,8.0,832.0,0,0,0,5,8,2,0.0,0.0,1
11,2017-10-17,19:45,Champions Lg,Group stage,Tue,Home,W,2,1,it Napoli,2.7,2.2,53,48520,David Silva,4-3-3,Antonio Matéu Lahoz,Match Report,,15,7,14.4,2.0,0,0,4,1,1,0,573.0,661.0,8945.0,2795.0,17.0,5.0,23.0,3.0,11.0,7,13.0,773.0,99.0,293.0,328.0,158.0,16.0,20.0,567.0,3,0,0,14,8,3,0.0,2.0,0
12,2017-10-21,15:00,Premier League,Matchweek 9,Sat,Home,W,3,0,Burnley,3.1,0.2,77,54118,David Silva,4-3-3,Roger East,Match Report,,14,9,15.0,0.0,1,1,0,0,0,0,753.0,848.0,11696.0,3533.0,26.0,4.0,23.0,6.0,9.0,5,3.0,930.0,60.0,263.0,467.0,210.0,17.0,22.0,749.0,2,0,0,10,6,1,1.0,0.0,0
13,2017-10-24,20:00,EFL Cup,Fourth round,Tue,Home,D,0 (4),0 (1),Wolves,,,73,50755,Sergio Agüero,3-4-3,Kevin Friend,Match Report,Manchester City won on penalty kicks following extra time,29,6,,,0,0,5,0,0,0,,,,,,,,,,15,,,,,,,,,,1,0,0,7,7,1,0.0,0.0,0
14,2017-10-28,15:00,Premier League,Matchweek 10,Sat,Away,W,3,2,West Brom,2.3,1.5,77,24003,David Silva,4-3-3,Mike Jones,Match Report,,15,5,20.1,2.0,0,0,4,0,0,0,861.0,959.0,13629.0,4248.0,15.0,2.0,28.0,5.0,16.0,11,12.0,1065.0,53.0,211.0,538.0,323.0,15.0,20.0,857.0,3,0,0,7,10,1,0.0,0.0,0
15,2017-11-01,20:45,Champions Lg,Group stage,Wed,Away,W,4,2,it Napoli,1.4,2.1,51,44483,Fernandinho,4-3-3,Felix Brych,Match Report,,17,5,16.4,1.0,0,0,6,1,0,0,545.0,640.0,8631.0,2477.0,18.0,6.0,31.0,7.0,13.0,10,16.0,772.0,84.0,269.0,365.0,150.0,28.0,34.0,544.0,1,0,0,12,8,1,0.0,1.0,0
16,2017-11-05,14:15,Premier League,Matchweek 11,Sun,Home,W,3,1,Arsenal,1.8,0.3,57,54286,David Silva,4-3-3,Michael Oliver,Match Report,,8,4,16.5,0.0,1,1,3,0,0,0,567.0,662.0,8815.0,2800.0,16.0,5.0,18.0,6.0,18.0,12,9.0,763.0,76.0,219.0,387.0,166.0,16.0,19.0,566.0,1,0,0,15,15,3,1.0,0.0,0
