Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG
2021-08-07,17:15,Community Shield,FA Community Shield,Sat,Neutral,L,0,1,Leicester City,,,57,,Fernandinho,4-3-3,Paul Tierney,Match Report,,12,3,,,0,0,4,1,0,0,,,,,,,,,,7,,,,,,,,,,2,0,0,8,6,3,,,0
2021-08-15,16:30,Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,2.0,1.0,65,58262.0,Fernandinho,4-3-3,Anthony Taylor,Match Report,,18,4,17.3,1.0,0,0,2,0,0,0,493.0,602.0,7528.0,2608.0,17.0,11.0,35.0,0.0,16.0,11,7.0,684.0,37.0,126.0,366.0,197.0,20.0,27.0,488.0,1,0,0,8,11,1,0.0,0.0,0
2021-08-21,15:00,Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.7,0.1,67,51437.0,İlkay Gündoğan,4-3-3,Graham Scott,Match Report,,16,4,18.5,1.0,0,0,0,0,0,0,709.0,781.0,11832.0,3037.0,20.0,6.0,28.0,7.0,14.0,8,3.0,848.0,21.0,71.0,460.0,321.0,9.0,15.0,703.0,1,0,0,13,6,2,0.0,0.0,0
2021-08-28,12:30,Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,4.0,0.2,80,52276.0,İlkay Gündoğan,4-3-3,Martin Atkinson,Match Report,,25,10,14.8,0.0,0,0,0,0,0,0,721.0,813.0,10729.0,3207.0,23.0,14.0,49.0,10.0,14.0,10,3.0,878.0,33.0,144.0,387.0,350.0,7.0,14.0,706.0,1,0,0,5,7,1,0.0,0.0,0
2021-09-11,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,3.3,0.6,61,32087.0,İlkay Gündoğan,4-3-3,Paul Tierney,Match Report,,25,8,14.3,0.0,0,0,1,0,0,0,535.0,618.0,9246.0,2784.0,20.0,8.0,41.0,1.0,14.0,7,7.0,706.0,38.0,144.0,344.0,223.0,5.0,14.0,527.0,2,0,0,11,4,4,0.0,0.0,0
2021-09-15,20:00,Champions Lg,Group stage,Wed,Home,W,6,3,de RB Leipzig,2.3,1.3,50,38062.0,Rúben Dias,4-3-3,Serdar Gözübüyük,Match Report,,15,7,16.8,0.0,1,1,3,0,0,0,417.0,502.0,7422.0,2532.0,14.0,6.0,25.0,7.0,16.0,7,9.0,605.0,67.0,220.0,272.0,114.0,7.0,13.0,411.0,1,0,0,9,16,6,0.0,0.0,0
2021-09-18,15:00,Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,1.2,0.5,64,52698.0,Fernandinho,4-3-3,Jonathan Moss,Match Report,,16,1,16.4,1.0,0,0,2,0,0,0,521.0,612.0,8760.0,3012.0,21.0,8.0,29.0,0.0,13.0,10,13.0,724.0,62.0,220.0,342.0,168.0,13.0,25.0,509.0,0,0,0,5,10,4,0.0,0.0,0
2021-09-21,19:45,EFL Cup,Third round,Tue,Home,W,6,1,Wycombe,,,79,30959.0,Kevin De Bruyne,4-3-3,Robert Jones,Match Report,,26,14,,,0,0,4,0,0,0,,,,,,,,,,2,,,,,,,,,,1,0,0,9,11,2,,,0
2021-09-25,12:30,Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.4,0.2,59,40036.0,Rúben Dias,4-3-3,Michael Oliver,Match Report,,15,3,17.1,0.0,0,0,0,0,0,0,547.0,645.0,9516.0,2930.0,12.0,13.0,30.0,1.0,16.0,9,11.0,738.0,58.0,163.0,383.0,197.0,9.0,15.0,539.0,2,0,0,10,12,4,0.0,0.0,0
2021-09-28,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,1.9,0.4,54,37350.0,Rúben Dias,4-3-3,Carlos del Cerro,Match Report,,18,7,15.9,2.0,0,0,3,0,0,0,506.0,594.0,9372.0,2892.0,25.0,10.0,34.0,0.0,27.0,11,12.0,677.0,30.0,116.0,280.0,285.0,12.0,19.0,499.0,2,0,0,12,8,3,0.0,0.0,0
