Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,SoTA,PKA,PKsv,PKm,Cmp_Total,Att_Total,TotDist,PrgDist,TI,CK,SCA,GCA,Tkl_Defensive,TklW_Defensive,Blocks_Defensive,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Dribbles_Succ,Dribles_Att,Rec,CrdY,CrdR,2CrdY,Fls,Fld,Off,PKwon,PKcon,OG,Season,Team
2022-08-05,20:00,Premier League,Matchweek 1,Fri,Away,W,2.0,0.0,Crystal Palace,1.0,1.2,44.0,25286.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,10.0,2.0,14.6,1.0,0,0,2.0,0,0,0,378.0,469.0,6643.0,2559.0,14.0,5.0,19.0,2.0,29.0,16.0,17.0,598.0,78.0,220.0,251.0,135.0,13.0,17.0,376.0,2,0,0,11.0,16.0,2.0,0.0,0.0,0.0,2022,Arsenal
2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,2.0,Leicester City,2.7,0.5,50.0,60033.0,Martin Ødegaard,4-3-3,Darren England,Match Report,,19.0,7.0,13.0,0.0,0,0,2.0,0,0,0,407.0,499.0,6642.0,2321.0,15.0,6.0,33.0,6.0,8.0,6.0,9.0,585.0,32.0,137.0,229.0,221.0,11.0,17.0,403.0,1,0,0,15.0,9.0,2.0,0.0,0.0,1.0,2022,Arsenal
2022-08-20,17:30,Premier League,Matchweek 3,Sat,Away,W,3.0,0.0,Bournemouth,1.3,0.3,57.0,10423.0,Martin Ødegaard,4-3-3,Craig Pawson,Match Report,,14.0,6.0,14.8,0.0,0,0,1.0,0,0,0,534.0,614.0,8331.0,2663.0,13.0,4.0,25.0,5.0,14.0,8.0,11.0,731.0,48.0,186.0,381.0,172.0,12.0,27.0,527.0,1,0,0,10.0,12.0,3.0,0.0,0.0,0.0,2022,Arsenal
2022-08-27,17:30,Premier League,Matchweek 4,Sat,Home,W,2.0,1.0,Fulham,2.6,0.8,71.0,60164.0,Martin Ødegaard,4-3-3,Jarred Gillett,Match Report,,22.0,8.0,15.5,1.0,0,0,3.0,0,0,0,534.0,637.0,9990.0,3197.0,17.0,9.0,36.0,3.0,15.0,11.0,17.0,743.0,43.0,159.0,352.0,241.0,13.0,29.0,525.0,2,0,0,6.0,12.0,1.0,0.0,0.0,0.0,2022,Arsenal
2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,2.0,1.0,Aston Villa,2.4,0.4,59.0,60012.0,Martin Ødegaard,4-3-3,Robert Jones,Match Report,,22.0,8.0,16.3,1.0,0,0,3.0,0,0,0,452.0,549.0,8154.0,3066.0,15.0,10.0,38.0,4.0,10.0,7.0,4.0,653.0,39.0,194.0,270.0,197.0,12.0,23.0,445.0,2,0,0,10.0,14.0,1.0,0.0,0.0,0.0,2022,Arsenal
2022-09-04,16:30,Premier League,Matchweek 6,Sun,Away,L,1.0,3.0,Manchester Utd,1.3,1.5,60.0,73431.0,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,,16.0,3.0,18.6,1.0,0,0,6.0,0,0,0,418.0,508.0,7521.0,2785.0,20.0,5.0,28.0,2.0,14.0,8.0,7.0,594.0,45.0,152.0,234.0,211.0,8.0,18.0,410.0,3,0,0,9.0,13.0,0.0,0.0,0.0,0.0,2022,Arsenal
2022-09-18,12:00,Premier League,Matchweek 8,Sun,Away,W,3.0,0.0,Brentford,1.5,0.5,63.0,17122.0,Granit Xhaka,4-3-3,David Coote,Match Report,,13.0,7.0,18.2,0.0,0,0,2.0,0,0,0,525.0,624.0,8293.0,2539.0,18.0,3.0,23.0,6.0,12.0,9.0,2.0,716.0,44.0,131.0,397.0,192.0,10.0,20.0,517.0,2,0,0,10.0,10.0,1.0,0.0,0.0,0.0,2022,Arsenal
2022-10-01,12:30,Premier League,Matchweek 9,Sat,Home,W,3.0,1.0,Tottenham,2.4,1.6,64.0,60278.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,22.0,9.0,18.6,1.0,0,0,3.0,1,0,0,539.0,613.0,9543.0,2949.0,18.0,5.0,38.0,5.0,14.0,10.0,4.0,716.0,36.0,120.0,307.0,292.0,10.0,19.0,530.0,2,0,0,10.0,10.0,1.0,0.0,1.0,0.0,2022,Arsenal
2022-10-09,16:30,Premier League,Matchweek 10,Sun,Home,W,3.0,2.0,Liverpool,2.7,1.1,43.0,60059.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,10.0,6.0,14.3,0.0,1,1,3.0,0,0,0,316.0,417.0,5949.0,2040.0,14.0,4.0,20.0,6.0,16.0,10.0,11.0,542.0,52.0,163.0,229.0,157.0,8.0,16.0,309.0,1,0,0,11.0,9.0,3.0,1.0,0.0,0.0,2022,Arsenal
2022-10-16,14:00,Premier League,Matchweek 11,Sun,Away,W,1.0,0.0,Leeds United,0.5,1.8,53.0,36700.0,Martin Ødegaard,4-3-3,Chris Kavanagh,Match Report,,9.0,4.0,16.6,1.0,0,0,4.0,0,0,1,437.0,534.0,8067.0,2758.0,21.0,3.0,15.0,2.0,17.0,10.0,16.0,658.0,79.0,247.0,317.0,99.0,9.0,24.0,431.0,2,0,0,11.0,10.0,0.0,0.0,1.0,0.0,2022,Arsenal
